N,av_times,worst_times,av_bin_times,worst_bin_times
100,0,0.00023,0,6.4e-05
2600,0.004832,0.005078,0,0.00012
5100,0.00963,0.011576,0,0.000132
7600,0.014806,0.016038,0,0.000132
10100,0.020114,0.02047,6.6e-05,0.000162
12600,0.024398,0.026408,0,0.000144
15100,0.02861,0.031042,0,0.000144
17600,0.034508,0.037358,0,0.000156
20100,0.040904,0.041414,0,0.000156
22600,0.04598,0.044506,0,0.000152
25100,0.049628,0.04975,2e-06,0.00015
27600,0.054944,0.0556,0,0.000156
30100,0.056824,0.061448,0,0.000156
32600,0.062226,0.065618,0,0.000152
35100,0.069298,0.070508,0,0.000162
37600,0.073216,0.07587,4e-06,0.000168
40100,0.07762,0.07815,0,0.000162
42600,0.084054,0.082558,0,0.000184
45100,0.087636,0.08802,2e-06,0.000162
47600,0.098042,0.109624,0,0.000194
50100,0.10743,0.111498,2e-05,0.000182
52600,0.104058,0.108334,2e-06,0.000186
55100,0.110242,0.122024,0,0.000166
57600,0.121358,0.118192,0,0.000168
60100,0.117798,0.121362,0,0.000162
62600,0.126846,0.126176,4e-06,0.000166
65100,0.127688,0.130722,2e-06,0.000182
67600,0.132822,0.136278,2e-06,0.000178
70100,0.138946,0.137696,0,0.000174
72600,0.137172,0.140778,2e-05,0.000174
75100,0.14533,0.166854,2e-05,0.00026
77600,0.16458,0.181048,0,0.000184
80100,0.310918,0.164244,2.2e-05,0.000236
82600,0.16084,0.168368,4.4e-05,0.000224
85100,0.16862,0.177662,2e-06,0.000208
87600,0.168162,0.175722,2e-06,0.000178
90100,0.190726,0.201576,0.000146,0.000252
92600,0.190994,0.205322,4e-06,0.000184
95100,0.18114,0.190124,6.6e-05,0.000178
97600,0.198632,0.190714,2e-06,0.000174
