N,quadratic_time_us,linear_time_us
100,11.14,0.01
600,364.48,2.78
1100,1038.75,4.74
1600,2768.39,6.21
2100,2839.34,6.82
2600,3294.05,6.88
3100,4248.64,8.07
3600,4876.98,7.87
4100,5531.4,8.29
4600,6974.59,9.47
5100,7423.89,10.09
5600,5802.01,9.55
6100,6368.21,10.9
6600,6806.35,12.15
7100,7792.11,11.42
7600,11366.4,14.04
8100,10367.2,12.39
8600,10596.8,16.54
9100,9149.91,14.08
9600,7132.53,15.96
10100,10464.4,15.36
10600,7751.55,14.72
11100,9644.17,16.58
11600,12504.4,16.73
12100,10736.9,20.52
12600,8849.07,16.29
13100,10051.8,18.9
13600,9867.64,19.74
14100,9968.89,22.46
14600,9224.79,22.59
15100,14820.7,23.49
15600,12126.9,24.05
16100,13925.3,24.97
16600,9340.61,27.99
17100,8724.7,23.44
17600,7986.83,25.12
18100,18561.1,29.4
18600,7977.97,23.93
19100,17423.4,28.3
19600,28896.8,41.67
